iris,taux_pauvrete_pre,com
173000602,11.074119007534518,17300
173000603,6.206597222222222,17300
173000701,12.38190760892265,17300
173000702,10.004872578663283,17300
173000703,,17300
173000801,10.870097854697798,17300
173000802,10.6625258799172,17300
173000901,,17300
173001001,17.057419146214283,17300
173001002,14.78858158776624,17300
173001003,14.839103397140718,17300
173060101,9.93714791464866,17306
173060102,12.209682555563552,17306
173060103,13.372053270359684,17306
173060104,16.48883762734963,17306
173060105,14.27244406799872,17306
173060106,11.912603766370353,17306
173060107,12.368425911032768,17306
173060109,,17306
174150101,18.67511159582278,17415
174150102,13.395398940630551,17415
174150201,14.077528219421415,17415
174150202,17.644411486685126,17415
174150203,12.465342869881868,17415
174150301,18.008374154563285,17415
174150302,12.362523643884375,17415
174150303,9.33248343588819,17415
174150402,13.665525656089947,17415
180330101,15.264955863086561,18033
180330102,13.81765473210178,18033
180330201,10.854271624399145,18033
180330202,16.641554736050562,18033
180330203,20.491694237485515,18033
180330204,12.98273064638657,18033
180330205,9.428679046263657,18033
180330301,22.28107006083547,18033
180330401,34.119115027461476,18033
180330402,40.795264980229184,18033
180330501,13.987110577877452,18033
180330601,10.32919099963736,18033
180330602,12.27164569884919,18033
180330701,7.6620539693478715,18033
180330801,8.011006493384011,18033
180330901,15.577156236489921,18033
180330902,16.56870786172807,18033
180331002,50.92802237467178,18033
180331004,36.24198351817038,18033
180331102,54.706414367613284,18033
180331401,,18033
180331501,11.421777985788529,18033
181970101,28.164990069359238,18197
181970102,18.254787780355283,18197
181970103,13.75344826541039,18197
181970104,9.535817357541882,18197
182790101,25.286179236031302,18279
182790102,36.85923366563845,18279
182790201,,18279
182790301,17.621893675151323,18279
182790401,,18279
182790501,11.436139056099606,18279
182790502,13.938771959312797,18279
182790601,16.485539237557827,18279
182790701,17.718056851909846,18279
182790801,24.373575646253954,18279
182790901,50.57097384994014,18279
182791001,28.678658531649546,18279
182791101,11.25348722526535,18279
190310101,23.494500895112512,19031
190310102,13.887421751277126,19031
190310103,14.101499463548242,19031
190310104,14.023619375530254,19031
190310201,13.145004097417639,19031
190310203,17.202176541314255,19031
190310301,,19031
190310302,10.56713622482753,19031
190310303,12.367203983020923,19031
190310304,10.687369483779785,19031
190310401,11.69146168930377,19031
190310403,23.627442214870758,19031
190310405,15.892460912243594,19031
190310406,40.09627609401225,19031
190310602,,19031
190310603,12.328607607822583,19031
190310701,16.08217204236252,19031
190310702,7.395956059875066,19031
211660101,32.13063857840981,21166
211660102,24.898799290289592,21166
211660103,38.684949003944546,21166
211660104,33.68590928795374,21166
211660105,9.888792327964776,21166
211660106,13.570602004564288,21166
