code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP094037,44.833333333333336,Centre Ville,94078,Villeneuve-Saint-Georges
QP094038,34.0,Le Quartier Nord,94078,Villeneuve-Saint-Georges
QP094039,35.6,Le Quartier Nord- Les Tours,94078,Villeneuve-Saint-Georges
QP094040,38.93333333333334,Triage,94078,Villeneuve-Saint-Georges
QP094041,40.43333333333333,Portes De Paris - Les Hautes-Noues,94079,Villiers-sur-Marne
QP095001,26.53333333333333,Noyer Crapaud,95598,Soisy-sous-Montmorency
QP095002,67.53333333333335,Justice - Butte Blanche,95018; 95063,Argenteuil; Bezons
QP095003,29.7,Champioux,95018,Argenteuil
QP095004,41.06666666666666,Brigadières - Henri Barbusse,95018; 95063,Argenteuil; Bezons
QP095005,38.13333333333333,Val D'Argent Nord,95018,Argenteuil
QP095006,32.93333333333333,Val D'Argent Sud,95018,Argenteuil
QP095007,34.3,Champagne,95018,Argenteuil
QP095008,35.6,Joliot Curie,95018,Argenteuil
QP095009,32.0,Centre Ville,95018,Argenteuil
QP095010,38.1,Delaune Masson Colomb,95063,Bezons
QP095011,33.96666666666667,Axe Majeur - Horloge,95127,Cergy
QP095012,27.46666666666667,La Sébille,95127,Cergy
QP095013,37.56666666666666,Les Dix Arpents,95218,Éragny
QP095014,37.9,Le Moulinard,95476,Osny
QP095015,37.9,Marcouville,95500,Pontoise
QP095016,30.366666666666664,Louvrais,95500,Pontoise
QP095017,48.23333333333333,Chennevières - Parc Le Nôtre,95572,Saint-Ouen-l'Aumône
QP095018,30.766666666666666,Clos Du Roi,95323; 95637,Jouy-le-Moutier; Vauréal
QP095019,28.0,Les Toupets - Côte Des Carrières,95323; 95637,Jouy-le-Moutier; Vauréal
QP095020,40.93333333333333,Les Lévriers,95427,Montmagny
QP095021,28.03333333333333,Centre Ville,95427,Montmagny
QP095022,42.03333333333333,Mare Des Noues,95219; 95252,Ermont; Franconville
QP095023,27.266666666666666,Montédour,95252,Franconville
QP095024,36.06666666666666,Les Naquettes,95306,Herblay-sur-Seine
QP095025,32.5,Les Frances,95424,Montigny-lès-Cormeilles
QP095026,27.333333333333332,Clos Saint Pierre Elargi,95488,Pierrelaye
QP095027,33.43333333333333,Bas Des Aulnaies - Carreaux Fleuris - Fontaine Bertin,95252; 95582,Franconville; Sannois
QP095028,38.199999999999996,Les Pins,95607,Taverny
QP095029,27.96666666666667,Les Sarments Et Les Nérins,95607,Taverny
QP095030,35.13333333333333,Cottage Elargi,95280,Goussainville
QP095031,36.93333333333333,Grandes Bornes Elargies,95280,Goussainville
QP095032,45.96666666666667,Dame Blanche,95268,Garges-lès-Gonesse
